Gryffindor,Slytherin,Ravenclaw,Hufflepuf
-3.934526280496537964e+00,-3.896492584124281677e+00,-2.629533100342888563e+00,-2.473395102918995114e+00
-2.734083356253027564e+00,-2.297685133524172418e-01,1.091431989400681424e+00,2.319728059646859464e+00
6.107660641941223822e-01,2.032885400628619443e+00,1.203629504050771848e+00,-2.405440499011940236e+00
2.335422714093887020e+00,-1.606954458657197993e+00,-1.844398883675786027e-01,8.093217842051871891e-01
9.381571434272313603e-02,-1.547353671961935739e-01,7.591231978720498486e-01,-1.583968013401631181e+00
5.463623213785193111e-02,-4.321986651006409219e-01,1.445757691664180111e+00,-1.554382608659930609e+00
1.628021358449064593e+00,-2.268378866022592033e-01,-3.588161965220166838e-01,1.539518500007232560e-01
4.716675350738052525e-02,1.368467579324898376e+00,-6.599996344779552881e-01,-4.054830765282687599e-01
-5.877339153281375683e-01,6.527236212358323852e-01,3.604302504122370437e-02,3.034034678676537922e-02
-2.185780896713580279e-01,-1.709981467402599709e+00,1.571890147433056883e+00,-7.605711118318198016e-02
4.199651137658907629e+00,-4.882979325586697672e-01,-7.489770602733768490e-01,-1.514893847437550845e+00
